indice_original,conjunto,PriceGroup
302,train,grupo2
303,train,grupo2
304,train,grupo2
305,test,grupo2
306,train,grupo2
307,train,grupo1
308,train,grupo1
309,train,grupo2
310,train,grupo2
311,test,grupo2
312,train,grupo2
313,train,grupo2
314,train,grupo2
315,train,grupo2
316,train,grupo2
317,train,grupo2
318,train,grupo2
319,train,grupo2
320,train,grupo2
321,test,grupo2
322,train,grupo2
323,train,grupo2
324,train,grupo2
325,train,grupo1
326,train,grupo2
327,train,grupo2
328,train,grupo2
329,train,grupo1
330,train,grupo2
331,test,grupo2
332,train,grupo2
333,train,grupo2
334,test,grupo2
335,train,grupo2
336,train,grupo2
337,train,grupo2
338,train,grupo2
339,train,grupo2
340,train,grupo2
341,test,grupo1
342,train,grupo1
343,train,grupo2
344,train,grupo1
345,train,grupo2
346,test,grupo2
347,train,grupo2
348,train,grupo2
349,train,grupo2
350,test,grupo2
351,train,grupo2
352,train,grupo1
353,train,grupo2
354,test,grupo2
355,train,grupo2
356,train,grupo2
357,train,grupo2
358,train,grupo2
359,train,grupo2
360,train,grupo2
361,train,grupo2
362,train,grupo2
363,train,grupo2
364,train,grupo2
365,train,grupo2
366,train,grupo2
367,train,grupo2
368,train,grupo2
369,train,grupo2
370,train,grupo2
371,test,grupo2
372,train,grupo2
373,train,grupo2
374,train,grupo2
375,train,grupo1
376,train,grupo2
377,train,grupo2
378,train,grupo2
379,train,grupo2
380,test,grupo2
381,train,grupo2
382,train,grupo2
383,train,grupo1
384,train,grupo2
385,train,grupo2
386,train,grupo1
387,train,grupo2
388,train,grupo2
389,train,grupo2
390,train,grupo2
391,train,grupo2
392,train,grupo2
393,train,grupo1
394,train,grupo2
395,train,grupo2
396,train,grupo2
397,train,grupo2
398,test,grupo1
399,train,grupo2
400,train,grupo2
401,train,grupo2
402,train,grupo2
403,train,grupo2
404,train,grupo2
405,train,grupo2
406,train,grupo2
407,train,grupo2
408,test,grupo2
409,train,grupo2
410,train,grupo1
411,train,grupo2
412,train,grupo2
413,train,grupo2
414,train,grupo2
415,train,grupo2
416,train,grupo2
417,train,grupo2
418,train,grupo2
419,train,grupo2
420,train,grupo2
421,train,grupo2
422,train,grupo2
423,train,grupo2
424,test,grupo2
425,train,grupo2
426,train,grupo2
427,train,grupo2
428,train,grupo2
429,train,grupo2
430,train,grupo1
431,train,grupo1
432,train,grupo2
433,train,grupo2
434,train,grupo1
435,test,grupo2
436,train,grupo2
437,train,grupo2
438,train,grupo1
439,train,grupo2
440,train,grupo3
441,train,grupo2
442,test,grupo2
443,train,grupo2
444,test,grupo2
445,test,grupo2
446,train,grupo2
447,test,grupo2
448,test,grupo2
449,train,grupo2
450,train,grupo2
451,test,grupo2
452,test,grupo2
453,train,grupo2
454,train,grupo2
455,train,grupo2
456,train,grupo1
457,train,grupo2
458,train,grupo2
459,train,grupo2
460,train,grupo2
461,train,grupo2
462,train,grupo1
463,train,grupo2
464,train,grupo2
465,train,grupo2
466,train,grupo2
467,train,grupo2
468,train,grupo2
469,train,grupo2
470,train,grupo2
471,train,grupo2
472,train,grupo2
473,train,grupo2
474,train,grupo2
475,train,grupo2
476,train,grupo2
477,train,grupo2
478,train,grupo2
479,train,grupo1
480,train,grupo2
481,train,grupo2
482,train,grupo2
483,train,grupo2
484,train,grupo2
485,test,grupo2
486,train,grupo2
487,train,grupo2
488,train,grupo2
489,train,grupo1
490,test,grupo2
491,train,grupo2
492,test,grupo2
493,train,grupo2
494,train,grupo1
495,train,grupo1
496,train,grupo2
497,train,grupo2
498,train,grupo2
499,train,grupo2
500,train,grupo2
501,train,grupo2
502,train,grupo2
503,test,grupo2
504,train,grupo2
505,train,grupo2
506,train,grupo2
507,train,grupo2
508,train,grupo2
509,train,grupo2
510,test,grupo2
511,train,grupo2
512,train,grupo2
513,train,grupo2
514,train,grupo1
515,test,grupo2
516,train,grupo2
517,train,grupo2
518,train,grupo2
519,train,grupo2
520,train,grupo2
521,test,grupo2
522,test,grupo2
523,train,grupo2
524,test,grupo2
525,train,grupo2
526,train,grupo2
527,train,grupo2
528,train,grupo1
529,test,grupo2
530,train,grupo2
531,train,grupo2
532,train,grupo2
533,test,grupo1
534,train,grupo2
535,train,grupo2
536,train,grupo2
537,train,grupo2
538,test,grupo2
539,train,grupo2
540,train,grupo2
541,train,grupo2
542,test,grupo2
543,test,grupo2
544,train,grupo2
545,train,grupo2
546,train,grupo2
547,train,grupo2
548,train,grupo2
549,train,grupo2
550,test,grupo2
551,train,grupo2
552,train,grupo2
553,train,grupo2
554,train,grupo2
555,train,grupo2
556,test,grupo2
557,train,grupo2
558,train,grupo2
559,train,grupo2
560,train,grupo2
561,train,grupo2
562,train,grupo2
563,test,grupo2
564,train,grupo2
565,test,grupo2
566,train,grupo2
567,train,grupo2
568,train,grupo2
569,train,grupo2
570,train,grupo2
571,test,grupo2
572,train,grupo2
573,train,grupo2
574,train,grupo2
575,train,grupo2
576,train,grupo2
577,train,grupo2
578,test,grupo2
579,train,grupo2
580,train,grupo2
581,train,grupo2
582,train,grupo2
583,train,grupo2
584,train,grupo2
585,train,grupo2
586,train,grupo2
587,train,grupo2
588,train,grupo2
589,test,grupo1
590,train,grupo2
591,train,grupo2
592,test,grupo2
593,train,grupo2
594,train,grupo2
595,test,grupo2
596,train,grupo2
597,train,grupo2
598,train,grupo2
599,train,grupo2
600,train,grupo2
601,test,grupo2
602,train,grupo2
603,train,grupo2
604,train,grupo2
605,test,grupo2
606,train,grupo2
607,train,grupo2
608,train,grupo2
609,train,grupo2
610,train,grupo2
611,test,grupo2
612,train,grupo2
613,train,grupo2
614,train,grupo1
615,train,grupo2
616,train,grupo2
617,train,grupo2
618,test,grupo2
619,test,grupo2
620,train,grupo1
621,train,grupo2
622,test,grupo2
623,train,grupo2
624,train,grupo2
625,train,grupo2
626,test,grupo2
627,train,grupo2
628,train,grupo2
629,train,grupo2
630,train,grupo2
631,test,grupo2
632,train,grupo1
633,train,grupo2
634,train,grupo2
635,test,grupo2
636,train,grupo1
637,train,grupo1
638,train,grupo1
639,train,grupo2
640,train,grupo2
641,train,grupo2
642,train,grupo2
643,train,grupo2
644,train,grupo2
645,train,grupo2
646,train,grupo1
647,train,grupo2
648,test,grupo2
649,test,grupo1
650,train,grupo2
651,train,grupo2
652,train,grupo2
653,train,grupo2
654,train,grupo2
655,train,grupo1
656,train,grupo2
657,train,grupo2
658,train,grupo1
659,train,grupo2
660,train,grupo2
661,train,grupo2
662,train,grupo2
663,train,grupo2
664,train,grupo2
665,train,grupo2
666,train,grupo2
667,train,grupo2
668,train,grupo2
669,train,grupo2
670,train,grupo2
671,test,grupo2
672,train,grupo2
673,test,grupo2
674,train,grupo2
675,train,grupo2
676,train,grupo1
677,train,grupo2
678,test,grupo2
679,train,grupo2
680,train,grupo2
681,train,grupo2
682,train,grupo2
683,train,grupo2
684,train,grupo2
685,train,grupo2
686,train,grupo2
687,train,grupo2
688,train,grupo2
689,test,grupo2
690,train,grupo2
691,train,grupo3
692,test,grupo2
693,train,grupo2
694,test,grupo2
695,train,grupo2
696,train,grupo1
697,train,grupo2
698,train,grupo2
699,train,grupo2
700,test,grupo2
701,train,grupo2
702,train,grupo2
703,test,grupo2
704,train,grupo2
705,train,grupo1
706,train,grupo2
707,train,grupo2
708,test,grupo2
709,test,grupo2
710,train,grupo1
711,test,grupo2
712,test,grupo2
713,train,grupo2
714,train,grupo2
715,test,grupo2
716,train,grupo2
717,train,grupo2
718,test,grupo2
719,train,grupo2
720,train,grupo2
721,train,grupo2
722,train,grupo2
723,test,grupo2
724,train,grupo2
725,test,grupo2
726,test,grupo2
727,train,grupo2
728,test,grupo2
729,test,grupo2
730,train,grupo2
731,train,grupo2
732,train,grupo2
733,test,grupo2
734,train,grupo2
735,train,grupo2
736,train,grupo1
737,train,grupo2
738,train,grupo2
739,train,grupo2
740,train,grupo2
741,train,grupo2
742,train,grupo2
743,train,grupo2
744,train,grupo2
745,train,grupo2
746,train,grupo2
747,train,grupo2
748,train,grupo2
749,train,grupo1
750,train,grupo1
751,train,grupo2
752,train,grupo2
753,train,grupo2
754,test,grupo2
755,train,grupo2
756,test,grupo2
757,test,grupo2
758,test,grupo2
759,train,grupo2
760,test,grupo2
761,train,grupo1
762,train,grupo2
763,train,grupo2
764,train,grupo2
765,train,grupo2
766,train,grupo2
767,train,grupo2
768,train,grupo2
769,test,grupo3
770,train,grupo2
771,train,grupo2
772,train,grupo2
773,test,grupo2
774,test,grupo2
775,train,grupo2
776,train,grupo2
777,train,grupo2
778,train,grupo2
779,train,grupo2
780,train,grupo2
781,train,grupo2
782,train,grupo2
783,train,grupo2
784,test,grupo2
785,train,grupo2
786,train,grupo2
787,train,grupo2
788,train,grupo2
789,train,grupo2
790,train,grupo2
791,train,grupo2
792,train,grupo2
793,train,grupo2
794,train,grupo2
795,train,grupo2
796,train,grupo2
797,train,grupo2
798,train,grupo2
799,train,grupo2
800,test,grupo2
801,test,grupo2
802,train,grupo2
803,train,grupo3
804,train,grupo2
805,test,grupo2
806,train,grupo2
807,train,grupo2
808,train,grupo2
809,train,grupo2
810,train,grupo2
811,train,grupo2
812,test,grupo1
813,train,grupo2
814,train,grupo2
815,train,grupo2
816,train,grupo2
817,test,grupo2
818,train,grupo2
819,test,grupo2
820,train,grupo2
821,train,grupo1
822,train,grupo2
823,train,grupo2
824,train,grupo2
825,train,grupo2
826,test,grupo2
827,test,grupo2
828,train,grupo2
829,test,grupo2
830,train,grupo2
831,train,grupo2
832,train,grupo2
833,train,grupo2
834,train,grupo2
835,train,grupo2
836,test,grupo2
837,train,grupo1
838,train,grupo2
839,train,grupo2
840,train,grupo2
841,train,grupo2
842,test,grupo2
843,train,grupo2
844,train,grupo2
845,test,grupo2
846,train,grupo2
847,train,grupo2
848,train,grupo2
849,train,grupo2
850,train,grupo2
851,train,grupo2
852,test,grupo2
853,train,grupo2
854,train,grupo2
855,train,grupo2
856,train,grupo2
857,train,grupo2
858,test,grupo2
859,train,grupo2
860,train,grupo2
861,train,grupo2
862,train,grupo2
863,test,grupo2
864,train,grupo2
865,train,grupo2
866,train,grupo2
867,train,grupo2
868,train,grupo2
869,train,grupo2
870,train,grupo2
871,train,grupo2
872,train,grupo2
873,test,grupo2
874,test,grupo1
875,test,grupo2
876,train,grupo2
877,test,grupo2
878,train,grupo2
879,train,grupo2
880,test,grupo2
881,train,grupo2
882,train,grupo2
883,train,grupo2
884,train,grupo1
885,test,grupo2
886,train,grupo2
887,train,grupo2
888,train,grupo2
889,train,grupo2
890,train,grupo2
891,train,grupo2
892,train,grupo2
893,train,grupo2
894,train,grupo2
895,train,grupo2
896,test,grupo2
897,train,grupo2
898,train,grupo3
899,train,grupo2
900,train,grupo2
901,train,grupo2
902,train,grupo2
903,test,grupo2
904,test,grupo2
905,train,grupo2
906,train,grupo2
907,train,grupo2
908,train,grupo2
909,test,grupo2
910,train,grupo2
911,train,grupo2
912,train,grupo1
913,test,grupo2
914,train,grupo2
915,train,grupo1
916,train,grupo1
917,train,grupo2
918,test,grupo2
919,train,grupo2
920,test,grupo2
921,train,grupo2
922,test,grupo2
923,train,grupo2
924,train,grupo2
925,train,grupo2
926,train,grupo2
927,train,grupo2
928,train,grupo2
929,train,grupo2
930,train,grupo2
931,train,grupo2
932,train,grupo2
933,train,grupo2
934,train,grupo2
935,train,grupo1
936,train,grupo2
937,train,grupo2
938,train,grupo2
939,test,grupo2
940,test,grupo2
941,train,grupo2
942,train,grupo2
943,train,grupo2
944,train,grupo2
945,train,grupo2
946,train,grupo2
947,train,grupo2
948,train,grupo2
949,test,grupo2
950,train,grupo2
951,train,grupo2
952,test,grupo2
953,train,grupo2
954,train,grupo2
955,train,grupo2
956,test,grupo2
957,test,grupo2
958,train,grupo2
959,train,grupo2
960,train,grupo2
961,train,grupo2
962,test,grupo2
963,test,grupo2
964,test,grupo2
965,train,grupo2
966,test,grupo2
967,train,grupo2
968,train,grupo1
969,train,grupo2
970,test,grupo2
971,train,grupo2
972,train,grupo1
973,train,grupo2
974,train,grupo2
975,train,grupo2
976,test,grupo1
977,train,grupo2
978,train,grupo2
979,train,grupo2
980,test,grupo2
981,train,grupo2
982,train,grupo2
983,train,grupo2
984,train,grupo2
985,test,grupo2
986,train,grupo2
987,train,grupo2
988,train,grupo2
989,train,grupo2
990,train,grupo2
991,test,grupo2
992,train,grupo2
993,train,grupo2
994,train,grupo2
995,train,grupo2
996,train,grupo2
997,train,grupo2
998,train,grupo1
999,train,grupo2
1000,train,grupo1
1001,train,grupo1
1002,train,grupo2
1003,train,grupo2
1004,train,grupo2
1005,test,grupo2
1006,train,grupo2
1007,test,grupo1
1008,train,grupo2
1009,train,grupo2
1010,train,grupo2
1011,test,grupo1
1012,train,grupo2
1013,train,grupo1
1014,train,grupo2
1015,test,grupo2
1016,train,grupo2
1017,train,grupo2
1018,train,grupo2
1019,train,grupo2
1020,train,grupo2
1021,train,grupo2
1022,train,grupo1
1023,test,grupo2
1024,test,grupo2
1025,test,grupo2
1026,train,grupo2
1027,train,grupo2
1028,train,grupo2
1029,train,grupo2
1030,train,grupo2
1031,test,grupo2
1032,train,grupo2
1033,train,grupo2
1034,train,grupo2
1035,train,grupo1
1036,train,grupo2
1037,train,grupo2
1038,train,grupo1
1039,test,grupo1
1040,train,grupo2
1041,train,grupo2
1042,train,grupo2
1043,train,grupo2
1044,train,grupo2
1045,train,grupo2
1046,test,grupo3
1047,train,grupo2
1048,train,grupo2
1049,train,grupo1
1050,train,grupo2
1051,train,grupo2
1052,test,grupo2
1053,train,grupo2
1054,train,grupo2
1055,test,grupo2
1056,train,grupo2
1057,test,grupo2
1058,train,grupo2
1059,train,grupo2
1060,test,grupo2
1061,train,grupo1
1062,train,grupo1
1063,test,grupo2
1064,test,grupo2
1065,train,grupo2
1066,train,grupo2
1067,train,grupo2
1068,train,grupo2
1069,train,grupo2
1070,train,grupo2
1071,train,grupo2
1072,train,grupo1
1073,train,grupo2
1074,train,grupo2
1075,test,grupo2
1076,test,grupo2
1077,train,grupo2
1078,train,grupo2
1079,train,grupo2
1080,train,grupo2
1081,train,grupo2
1082,train,grupo2
1083,train,grupo2
1084,test,grupo2
1085,test,grupo2
1086,train,grupo1
1087,train,grupo2
1088,train,grupo2
1089,train,grupo2
1090,train,grupo1
1091,train,grupo2
1092,train,grupo2
1093,train,grupo2
1094,train,grupo2
1095,train,grupo2
1096,train,grupo2
1097,test,grupo2
1098,test,grupo2
1099,train,grupo2
1100,test,grupo1
1101,train,grupo2
1102,train,grupo2
1103,train,grupo2
1104,train,grupo2
1105,train,grupo2
1106,train,grupo2
1107,train,grupo2
1108,train,grupo2
1109,test,grupo2
1110,test,grupo2
1111,train,grupo2
1112,train,grupo2
1113,train,grupo2
1114,train,grupo2
1115,train,grupo2
1116,train,grupo2
1117,train,grupo2
1118,train,grupo2
1119,test,grupo2
1120,train,grupo2
1121,test,grupo2
1122,train,grupo2
1123,test,grupo2
1124,train,grupo2
1125,train,grupo2
1126,test,grupo2
1127,test,grupo2
1128,train,grupo2
1129,train,grupo2
1130,train,grupo2
1131,train,grupo1
1132,train,grupo2
1133,train,grupo2
1134,train,grupo2
1135,train,grupo2
1136,test,grupo2
1137,train,grupo1
1138,train,grupo2
1139,train,grupo2
1140,train,grupo2
1141,train,grupo2
1142,train,grupo2
1143,test,grupo1
1144,test,grupo1
1145,train,grupo2
1146,train,grupo2
1147,train,grupo2
1148,train,grupo2
1149,test,grupo2
1150,train,grupo2
1151,train,grupo2
1152,train,grupo2
1153,train,grupo2
1154,train,grupo2
1155,train,grupo2
1156,test,grupo2
1157,train,grupo2
1158,train,grupo2
1159,train,grupo2
1160,train,grupo2
1161,train,grupo2
1162,test,grupo2
1163,train,grupo2
1164,train,grupo2
1165,train,grupo2
1166,train,grupo2
1167,test,grupo2
1168,train,grupo2
1169,train,grupo3
1170,train,grupo2
1171,test,grupo2
1172,test,grupo2
1173,train,grupo2
1174,test,grupo2
1175,train,grupo2
1176,train,grupo2
1177,train,grupo2
1178,train,grupo2
1179,train,grupo1
1180,train,grupo2
1181,train,grupo2
1182,train,grupo3
1183,test,grupo2
1184,train,grupo2
1185,test,grupo2
1186,train,grupo1
1187,test,grupo2
1188,train,grupo2
1189,train,grupo2
1190,train,grupo2
1191,test,grupo2
1192,test,grupo2
1193,train,grupo2
1194,train,grupo2
1195,train,grupo2
1196,train,grupo2
1197,train,grupo2
1198,train,grupo2
1199,train,grupo2
1200,train,grupo2
1201,train,grupo2
1202,train,grupo2
1203,train,grupo2
1204,train,grupo2
1205,train,grupo2
1206,train,grupo2
1207,train,grupo2
1208,train,grupo2
1209,train,grupo2
1210,train,grupo2
1211,train,grupo2
1212,train,grupo2
1213,train,grupo2
1214,train,grupo2
1215,train,grupo2
1216,train,grupo2
1217,train,grupo2
1218,test,grupo1
1219,train,grupo1
1220,train,grupo2
1221,test,grupo2
1222,train,grupo2
1223,train,grupo2
1224,train,grupo2
1225,train,grupo2
1226,test,grupo2
1227,train,grupo2
1228,train,grupo2
1229,train,grupo2
1230,train,grupo2
1231,train,grupo2
1232,train,grupo2
1233,train,grupo2
1234,train,grupo2
1235,train,grupo2
1236,train,grupo2
1237,train,grupo2
1238,test,grupo2
1239,test,grupo2
1240,train,grupo2
1241,test,grupo2
1242,train,grupo2
1243,train,grupo2
1244,train,grupo2
1245,train,grupo2
1246,train,grupo2
1247,train,grupo2
1248,train,grupo2
1249,test,grupo2
1250,train,grupo2
1251,train,grupo2
1252,test,grupo2
1253,test,grupo2
1254,train,grupo2
1255,train,grupo2
1256,train,grupo2
1257,train,grupo1
1258,train,grupo2
1259,train,grupo2
1260,train,grupo2
1261,test,grupo2
1262,train,grupo2
1263,train,grupo2
1264,train,grupo2
1265,test,grupo2
1266,train,grupo2
1267,train,grupo2
1268,train,grupo2
1269,train,grupo2
1270,train,grupo2
1271,test,grupo2
1272,test,grupo2
1273,train,grupo2
1274,train,grupo2
1275,train,grupo2
1276,test,grupo2
1277,train,grupo2
1278,train,grupo2
1279,test,grupo1
1280,train,grupo2
1281,train,grupo2
1282,train,grupo2
1283,train,grupo2
1284,train,grupo2
1285,train,grupo2
1286,train,grupo2
1287,train,grupo2
1288,train,grupo2
1289,train,grupo2
1290,test,grupo2
1291,train,grupo2
1292,test,grupo2
1293,train,grupo2
1294,train,grupo2
1295,train,grupo2
1296,train,grupo2
1297,train,grupo2
1298,train,grupo2
1299,train,grupo2
1300,train,grupo2
1301,train,grupo2
1302,test,grupo2
1303,train,grupo2
1304,train,grupo2
1305,train,grupo2
1306,train,grupo2
1307,train,grupo2
1308,train,grupo2
1309,train,grupo2
1310,train,grupo2
1311,train,grupo2
1312,train,grupo2
1313,test,grupo2
1314,train,grupo2
1315,test,grupo2
1316,test,grupo2
1317,train,grupo2
1318,train,grupo2
1319,test,grupo2
1320,test,grupo2
1321,train,grupo1
1322,test,grupo2
1323,test,grupo1
1324,test,grupo2
1325,train,grupo1
1326,train,grupo1
1327,train,grupo2
1328,train,grupo2
1329,train,grupo2
1330,test,grupo2
1331,train,grupo2
1332,test,grupo1
1333,train,grupo2
1334,train,grupo2
1335,train,grupo2
1336,train,grupo2
1337,train,grupo1
1338,train,grupo2
1339,train,grupo2
1340,train,grupo2
1341,test,grupo2
1342,train,grupo2
1343,train,grupo2
1344,train,grupo2
1345,train,grupo2
1346,train,grupo2
1347,train,grupo2
1348,train,grupo2
1349,test,grupo2
1350,train,grupo2
1351,train,grupo2
1352,train,grupo2
1353,train,grupo2
1354,train,grupo2
1355,test,grupo2
1356,train,grupo2
1357,test,grupo2
1358,train,grupo2
1359,train,grupo2
1360,train,grupo2
1361,test,grupo2
1362,test,grupo2
1363,train,grupo2
1364,train,grupo2
1365,test,grupo2
1366,test,grupo2
1367,train,grupo2
1368,train,grupo2
1369,train,grupo2
1370,train,grupo2
1371,train,grupo2
1372,test,grupo2
1373,test,grupo2
1374,train,grupo2
1375,train,grupo2
1376,train,grupo1
1377,train,grupo2
1378,train,grupo1
1379,train,grupo2
1380,train,grupo1
1381,train,grupo2
1382,test,grupo2
1383,train,grupo2
1384,test,grupo2
1385,test,grupo2
1386,train,grupo2
1387,train,grupo2
1388,train,grupo2
1389,train,grupo2
1390,test,grupo2
1391,train,grupo2
1392,test,grupo2
1393,train,grupo2
1394,test,grupo2
1395,test,grupo2
1396,train,grupo2
1397,train,grupo2
1398,train,grupo2
1399,train,grupo2
1400,test,grupo2
1401,train,grupo2
1402,test,grupo2
1403,train,grupo2
1404,test,grupo2
1405,train,grupo2
1406,train,grupo2
1407,train,grupo2
1408,train,grupo2
1409,train,grupo2
1410,test,grupo2
1411,train,grupo2
1412,train,grupo1
1413,train,grupo2
1414,train,grupo2
1415,test,grupo2
1416,test,grupo2
1417,train,grupo2
1418,train,grupo2
1419,train,grupo2
1420,train,grupo2
1421,train,grupo2
1422,train,grupo2
1423,train,grupo2
1424,train,grupo2
1425,test,grupo2
1426,train,grupo2
1427,train,grupo2
1428,test,grupo2
1429,train,grupo2
1430,train,grupo2
1431,train,grupo2
1432,train,grupo1
1433,train,grupo2
1434,train,grupo2
1435,train,grupo2
1436,test,grupo2
1437,test,grupo2
1438,train,grupo2
1439,train,grupo2
1440,train,grupo2
1441,train,grupo2
1442,test,grupo2
1443,train,grupo2
1444,train,grupo2
1445,test,grupo2
1446,test,grupo2
1447,train,grupo2
1448,train,grupo2
1449,train,grupo1
1450,test,grupo2
1451,train,grupo2
1452,test,grupo2
1453,test,grupo1
1454,train,grupo2
1455,train,grupo2
1456,train,grupo2
1457,train,grupo2
1458,test,grupo2
1459,train,grupo2
