feature,importance
cat__Exterior2nd_Brk Cmn,0.0
cat__Exterior2nd_BrkFace,0.0
cat__Exterior2nd_CBlock,0.0
cat__Exterior2nd_AsbShng,0.0
cat__Exterior1st_WdShing,0.0
cat__Exterior1st_Wd Sdng,0.0
cat__Exterior2nd_AsphShn,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_Plywood,0.0
cat__Exterior1st_Stone,0.0
cat__Exterior1st_Stucco,0.0
cat__RoofMatl_Metal,0.0
cat__RoofMatl_CompShg,0.0
cat__RoofMatl_Tar&Grv,0.0
cat__RoofMatl_Roll,0.0
cat__Exterior1st_AsbShng,0.0
cat__Exterior1st_BrkComm,0.0
cat__RoofMatl_WdShake,0.0
cat__RoofMatl_WdShngl,0.0
cat__RoofMatl_ClyTile,0.0
cat__RoofStyle_Shed,0.0
cat__HouseStyle_1.5Unf,0.0
cat__HouseStyle_SFoyer,0.0
cat__RoofStyle_Flat,0.0
cat__HouseStyle_SLvl,0.0
cat__RoofStyle_Gambrel,0.0
cat__RoofStyle_Mansard,0.0
cat__Condition1_RRNe,0.0
cat__Condition1_RRAn,0.0
cat__Condition1_RRAe,0.0
cat__Condition1_PosN,0.0
cat__Condition1_PosA,0.0
cat__Neighborhood_Veenker,0.0
cat__HouseStyle_2.5Fin,0.0
cat__HouseStyle_2.5Unf,0.0
cat__BldgType_Twnhs,0.0
cat__BldgType_TwnhsE,0.0
cat__LandSlope_Sev,0.0
cat__Neighborhood_Blueste,0.0
cat__LandSlope_Mod,0.0
cat__Neighborhood_Blmngtn,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_CollgCr,0.0
cat__ExterQual_TA,0.0
cat__ExterQual_Fa,0.0
cat__Neighborhood_NPkVill,0.0
cat__Neighborhood_IDOTRR,0.0
cat__Neighborhood_Crawfor,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_ClearCr,0.0
cat__ExterQual_Ex,0.0
cat__Street_Pave,0.0
cat__Street_Grvl,0.0
cat__MSZoning_RH,0.0
cat__Alley_None,0.0
cat__Alley_Pave,0.0
cat__MSZoning_FV,0.0
cat__MSZoning_C (all),0.0
cat__MasVnrType_None,0.0
cat__BsmtFinType2_None,0.0
cat__BsmtFinType2_LwQ,0.0
cat__BsmtFinType2_GLQ,0.0
cat__BsmtFinType2_BLQ,0.0
cat__BsmtFinType2_ALQ,0.0
cat__BsmtFinType1_Rec,0.0
cat__BsmtFinType1_None,0.0
cat__BsmtFinType1_LwQ,0.0
cat__BsmtFinType1_GLQ,0.0
cat__BsmtExposure_None,0.0
cat__ExterCond_Fa,0.0
cat__Foundation_Wood,0.0
cat__Foundation_Stone,0.0
cat__BsmtCond_Gd,0.0
cat__BsmtCond_None,0.0
cat__BsmtCond_Po,0.0
cat__ExterCond_Ex,0.0
cat__LotShape_IR3,0.0
cat__LotShape_IR2,0.0
cat__Functional_Maj2,0.0
cat__Functional_Maj1,0.0
cat__Electrical_None,0.0
cat__Electrical_FuseF,0.0
cat__Heating_GasW,0.0
cat__Heating_Wall,0.0
cat__Heating_OthW,0.0
cat__Heating_Grav,0.0
cat__HeatingQC_Po,0.0
cat__Electrical_FuseP,0.0
cat__BsmtFinType2_Rec,0.0
cat__Heating_Floor,0.0
cat__Heating_GasA,0.0
cat__GarageFinish_RFn,0.0
cat__GarageFinish_None,0.0
cat__GarageType_CarPort,0.0
cat__GarageType_BuiltIn,0.0
cat__GarageType_2Types,0.0
cat__GarageType_Basment,0.0
cat__FireplaceQu_Fa,0.0
cat__FireplaceQu_Po,0.0
cat__Functional_Min2,0.0
cat__Functional_Mod,0.0
cat__FireplaceQu_Ex,0.0
cat__Functional_Sev,0.0
cat__SaleType_ConLw,0.0
cat__GarageQual_Ex,0.0
cat__GarageQual_Gd,0.0
cat__SaleType_ConLI,0.0
cat__LotConfig_FR3,0.0
cat__LotConfig_FR2,0.0
cat__LotConfig_CulDSac,0.0
cat__Utilities_NoSeWa,0.0
cat__Utilities_AllPub,0.0
cat__SaleType_New,0.0
cat__SaleType_Oth,0.0
cat__LandContour_HLS,0.0
cat__GarageQual_None,0.0
cat__LandSlope_Gtl,0.0
cat__GarageQual_Po,0.0
num__PoolArea,0.0
num__3SsnPorch,0.0
cat__GarageCond_Ex,0.0
cat__SaleCondition_Family,0.0
cat__SaleCondition_Partial,0.0
