indice_original,cluster_hierarchical,SalePrice
262,1,151000
263,1,130000
264,1,73000
265,0,175500
266,0,185000
267,1,179500
268,1,120500
269,1,148000
270,0,266000
271,1,241500
272,0,290000
273,1,139000
274,1,124500
275,1,205000
276,0,201000
277,1,141000
278,0,415298
279,0,192000
280,1,228500
281,0,185000
282,0,207500
283,0,244600
284,0,179200
285,1,164700
286,0,159000
287,1,88000
288,1,122000
289,1,153575
290,0,233230
291,1,135900
292,1,131000
293,0,235000
294,0,167000
295,1,142500
296,1,152000
297,1,239000
298,1,175000
299,1,158500
300,1,157000
301,0,267000
302,0,205000
303,1,149900
304,0,295000
305,0,305900
306,0,225000
307,1,89500
308,1,82500
309,0,360000
310,0,165600
311,1,132000
312,1,119900
313,1,375000
314,1,178000
315,0,188500
316,0,260000
317,0,270000
318,0,260000
319,0,187500
320,0,342643
321,0,354000
322,1,301000
323,1,126175
324,0,242000
325,1,87000
326,1,324000
327,1,145250
328,1,214500
329,1,78000
330,1,119000
331,1,139000
332,0,284000
333,0,207000
334,0,192000
335,1,228950
336,0,377426
337,0,214000
338,0,202500
339,1,155000
340,0,202900
341,1,82000
342,1,87500
343,0,266000
344,1,85000
345,1,140200
346,1,151500
347,0,157500
348,1,154000
349,0,437154
350,0,318061
351,1,190000
352,1,95000
353,1,105900
354,1,140000
355,1,177500
356,0,173000
357,1,134000
358,1,130000
359,1,280000
360,1,156000
361,1,145000
362,0,198500
363,1,118000
364,0,190000
365,1,147000
366,1,159000
367,1,165000
368,1,132000
369,1,162000
370,0,172400
371,1,134432
372,1,125000
373,1,123000
374,0,219500
375,1,61000
376,1,148000
377,0,340000
378,0,394432
379,0,179000
380,1,127000
381,0,187750
382,0,213500
383,1,76000
384,0,240000
385,0,192000
386,1,81000
387,1,125000
388,0,191000
389,0,426000
390,1,119000
391,0,215000
392,1,106500
393,1,100000
394,1,109000
395,1,129000
396,1,123000
397,1,169500
398,1,67000
399,0,241000
400,1,245500
401,0,164990
402,1,108000
403,0,258000
404,0,168000
405,0,150000
406,1,115000
407,1,177000
408,0,280000
409,0,339750
410,1,60000
411,1,145000
412,0,222000
413,1,115000
414,0,228000
415,0,181134
416,0,149500
417,1,239000
418,1,126000
419,1,142000
420,1,206300
421,1,215000
422,1,113000
423,0,315000
424,1,139000
425,1,135000
426,1,275000
427,1,109008
428,0,195400
429,1,175000
430,1,85400
431,1,79900
432,1,122500
433,0,181000
434,1,81000
435,0,212000
436,1,116000
437,1,119000
438,1,90350
439,1,110000
440,0,555000
441,1,118000
442,1,162900
443,0,172500
444,0,210000
445,1,127500
446,1,190000
447,0,199900
448,1,119500
449,1,120000
450,1,110000
451,0,280000
452,0,204000
453,0,210000
454,1,188000
455,1,175500
456,1,98000
457,1,256000
458,1,161000
459,1,110000
460,0,263435
461,1,155000
462,1,62383
463,1,188700
464,1,124000
465,0,178740
466,1,167000
467,1,146500
468,0,250000
469,0,187000
470,1,212000
471,1,190000
472,1,148000
473,0,440000
474,0,251000
475,1,132500
476,0,208900
477,0,380000
478,0,297000
479,1,89471
480,0,326000
481,0,374000
482,1,155000
483,0,164000
484,1,132500
485,1,147000
486,1,156000
487,0,175000
488,1,160000
489,1,86000
490,1,115000
491,1,133000
492,0,172785
493,1,155000
494,1,91300
495,1,34900
496,0,430000
497,1,184000
498,1,130000
499,1,120000
500,1,113000
501,0,226700
502,1,140000
503,1,289000
504,1,147000
505,1,124500
506,0,215000
507,0,208300
508,1,161000
509,1,124500
510,1,164900
511,0,202665
512,1,129900
513,1,134000
514,1,96500
515,0,402861
516,0,158000
517,0,265000
518,0,211000
519,1,234000
520,1,106250
521,1,150000
522,1,159000
523,0,184750
524,0,315750
525,0,176000
526,1,132000
527,0,446261
528,1,86000
529,0,200624
530,0,175000
531,1,128000
532,1,107500
533,1,39300
534,0,178000
535,1,107500
536,0,188000
537,1,111250
538,1,158000
539,0,272000
540,0,315000
541,0,248000
542,1,213250
543,1,133000
544,0,179665
545,0,229000
546,1,210000
547,1,129500
548,1,125000
549,0,263000
550,1,140000
551,1,112500
552,0,255500
553,1,108000
554,0,284000
555,1,113000
556,1,141000
557,1,108000
558,1,175000
559,0,234000
560,1,121500
561,1,170000
562,1,108000
563,1,185000
564,0,268000
565,1,128000
566,0,325000
567,0,214000
568,1,316600
569,1,135960
570,1,142600
571,1,120000
572,0,224500
573,0,170000
574,1,139000
575,1,118500
576,1,145000
577,1,164500
578,1,146000
579,1,131500
580,1,181900
581,0,253293
582,1,118500
583,0,325000
584,1,133000
585,0,369900
586,1,130000
587,1,137000
588,1,143000
589,1,79500
590,0,185900
591,0,451950
592,1,138000
593,1,140000
594,1,110000
595,0,319000
596,1,114504
597,1,194201
598,0,217500
599,1,151000
600,0,275000
601,1,141000
602,0,220000
603,1,151000
604,0,221000
605,1,205000
606,1,152000
607,1,225000
608,1,359100
609,1,118500
610,0,313000
611,1,148000
612,0,261500
613,1,147000
614,1,75500
615,1,137500
616,0,183200
617,1,105500
618,0,314813
619,0,305000
620,1,67000
621,0,240000
622,1,135000
623,1,168500
624,0,165150
625,1,160000
626,1,139900
627,1,153000
628,1,135000
629,1,168500
630,1,124000
631,0,209500
632,0,82500
633,1,139400
634,1,144000
635,1,200000
636,1,60000
637,1,93000
638,1,85000
639,0,264561
640,0,274000
641,0,226000
642,0,345000
643,0,152000
644,0,370878
645,1,143250
646,1,98300
647,1,155000
648,1,155000
649,1,84500
650,0,205950
651,1,108000
652,0,191000
653,1,135000
654,0,350000
655,1,88000
656,1,145500
657,1,149000
658,1,97500
659,1,167000
660,0,197900
661,0,402000
662,1,110000
663,1,137500
664,0,423000
665,0,230500
666,1,129000
667,0,193500
668,1,168000
669,1,137500
670,0,173500
671,1,103600
672,1,165000
673,1,257500
674,1,140000
675,1,148500
676,1,87000
677,1,109500
678,0,372500
679,1,128500
680,1,143000
681,1,159434
682,1,173000
683,0,285000
684,0,221000
685,1,207500
686,0,227875
687,1,148800
688,0,392000
689,0,194700
690,1,141000
691,0,755000
692,0,335000
693,1,108480
694,1,141500
695,1,176000
696,1,89000
697,1,123500
698,1,138500
699,0,196000
700,0,312500
701,1,140000
702,0,361919
703,1,140000
704,1,213000
705,1,55000
706,0,302000
707,0,254000
708,0,179540
709,1,109900
710,1,52000
711,1,102776
712,0,189000
713,1,129000
714,0,130500
715,1,165000
716,1,159500
717,1,157000
718,0,341000
719,1,128500
720,0,275000
721,1,143000
722,1,124500
723,1,135000
724,0,320000
725,1,120500
726,1,222000
727,0,194500
728,1,110000
729,1,103000
730,0,236500
731,0,187500
732,0,222500
733,1,131400
734,1,108000
735,1,163000
736,1,93500
737,0,239900
738,1,179000
739,0,190000
740,1,132000
741,1,142000
742,0,179000
743,1,175000
744,1,180000
745,0,299800
746,0,236000
747,1,265979
748,0,260400
749,1,98000
750,1,96500
751,0,162000
752,0,217000
753,0,275500
754,1,156000
755,1,172500
756,0,212000
757,0,158900
758,1,179400
759,0,290000
760,1,127500
761,1,100000
762,0,215200
763,1,337000
764,1,270000
765,0,264132
766,0,196500
767,1,160000
768,0,216837
769,0,538000
770,1,134900
771,1,102000
772,1,107000
773,1,114500
774,0,395000
775,0,162000
776,0,221500
777,1,142500
778,1,144000
779,1,135000
780,0,176000
781,0,175900
782,0,187100
783,1,165500
784,1,128000
785,1,161500
786,1,139000
787,0,233000
788,1,107900
789,0,187500
790,0,160200
791,1,146800
792,0,269790
793,0,225000
794,0,194500
795,1,171000
796,1,143500
797,1,110000
798,0,485000
799,1,175000
800,0,200000
801,1,109900
802,0,189000
803,0,582933
804,1,118000
805,0,227680
806,1,135500
807,1,223500
808,1,159950
809,1,106000
810,0,181000
811,1,144500
812,1,55993
813,1,157900
814,1,116000
815,0,224900
816,1,137000
817,0,271000
818,1,155000
819,0,224000
820,0,183000
821,1,93000
822,0,225000
823,1,139500
824,0,232600
825,0,385000
826,1,109500
827,0,189000
828,1,185000
829,1,147400
830,1,166000
831,1,151000
832,0,237000
833,1,167000
834,1,139950
835,0,128000
836,1,153500
837,1,100000
838,1,144000
839,1,130500
840,1,140000
841,1,157500
842,1,174900
843,1,141000
844,1,153900
845,0,171000
846,0,213000
847,1,133500
848,0,240000
849,0,187000
850,1,131500
851,0,215000
852,1,164000
853,1,158000
854,1,170000
855,1,127000
856,1,147000
857,0,174000
858,1,152000
859,1,250000
860,1,189950
861,1,131500
862,0,152000
863,1,132500
864,0,250580
865,1,148500
866,0,248900
867,1,129000
868,1,169000
869,0,236000
870,1,109500
871,0,200500
872,1,116000
873,1,133000
874,1,66500
875,0,303477
876,1,132250
877,0,350000
878,1,148000
879,1,136500
880,1,157000
881,0,187500
882,0,178000
883,1,118500
884,1,100000
885,0,328900
886,1,145000
887,1,135500
888,1,268000
889,1,149500
890,1,122900
891,0,172500
892,1,154500
893,1,165000
894,1,118858
895,0,140000
896,1,106500
897,1,142953
898,0,611657
899,1,135000
900,1,110000
901,1,153000
902,0,180000
903,0,240000
904,1,125500
905,1,128000
906,0,255000
907,1,250000
908,1,131000
909,0,174000
910,1,154300
911,1,143500
912,1,88000
913,1,145000
914,1,173733
915,1,75000
916,1,35311
917,1,135000
918,1,238000
919,1,176500
920,1,201000
921,1,145900
922,0,169990
923,1,193000
924,1,207500
925,1,175000
926,0,285000
927,0,176000
928,0,236500
929,0,222000
930,0,201000
931,1,117500
932,0,320000
933,0,190000
934,0,242000
935,1,79900
936,0,184900
937,0,253000
938,0,239799
939,1,244400
940,1,150900
941,1,214000
942,1,150000
943,1,143000
944,1,137500
945,1,124900
946,1,143000
947,0,270000
948,0,192500
949,1,197500
950,1,129000
951,1,119900
952,1,133900
953,0,172000
954,1,127500
955,1,145000
956,1,124000
957,1,132000
958,0,185000
959,1,155000
960,1,116500
961,0,272000
962,1,155000
963,0,239000
964,0,214900
965,0,178900
966,1,160000
967,1,135000
968,1,37900
969,1,140000
970,1,135000
971,1,173000
972,1,99500
973,0,182000
974,1,167500
975,1,165000
976,1,85500
977,1,199900
978,1,110000
979,1,139000
980,1,178400
981,0,336000
982,0,159895
983,0,255900
984,1,126000
985,1,125000
986,1,117000
987,0,395192
988,0,195000
989,0,197000
990,0,348000
991,1,168000
992,0,187000
993,0,173900
994,0,337500
995,1,121600
996,1,136500
997,0,185000
998,1,91000
999,0,206000
1000,1,82000
1001,1,86000
1002,0,232000
1003,1,136905
1004,0,181000
1005,1,149900
1006,1,163500
1007,1,88000
1008,0,240000
1009,1,102000
1010,1,135000
1011,1,100000
1012,1,165000
1013,1,85000
1014,1,119200
1015,0,227000
1016,0,203000
1017,1,187500
1018,0,160000
1019,0,213490
1020,1,176000
1021,0,194000
1022,1,87000
1023,0,191000
1024,0,287000
1025,1,112500
1026,1,167500
1027,0,293077
1028,1,105000
1029,1,118000
1030,1,160000
1031,1,197000
1032,0,310000
1033,0,230000
1034,1,119750
1035,1,84000
1036,0,315500
1037,1,287000
1038,1,97000
1039,1,80000
1040,1,155000
1041,1,173000
1042,0,196000
1043,0,262280
1044,0,278000
1045,1,139600
1046,0,556581
1047,1,145000
1048,1,115000
1049,1,84900
1050,0,176485
1051,0,200141
1052,1,165000
1053,1,144500
1054,0,255000
1055,1,180000
1056,0,185850
1057,0,248000
1058,0,335000
1059,0,220000
1060,0,213500
1061,1,81000
1062,1,90000
1063,1,110500
1064,1,154000
1065,0,328000
1066,0,178000
1067,0,167900
1068,0,151400
1069,1,135000
1070,1,135000
1071,0,154000
1072,1,91500
1073,0,159500
1074,0,194000
1075,1,219500
1076,1,170000
1077,1,138800
1078,1,155900
1079,1,126000
1080,1,145000
1081,1,133000
1082,0,192000
1083,1,160000
1084,0,187500
1085,1,147000
1086,1,83500
1087,0,252000
1088,1,137500
1089,1,197000
1090,1,92900
1091,1,160000
1092,1,136500
1093,1,146000
1094,1,129000
1095,0,176432
1096,1,127000
1097,1,170000
1098,1,128000
1099,0,157000
1100,1,60000
1101,1,119500
1102,1,135000
1103,1,159500
1104,1,106000
1105,0,325000
1106,0,179900
1107,0,274725
1108,0,181000
1109,0,280000
1110,0,188000
1111,0,205000
1112,1,129900
1113,1,134500
1114,1,117000
1115,0,318000
1116,0,184100
1117,1,130000
1118,1,140000
1119,1,133700
1120,1,118400
1121,0,212900
1122,1,112000
1123,1,118000
1124,0,163900
1125,1,115000
1126,0,174000
1127,0,259000
1128,0,215000
1129,1,140000
1130,1,135000
1131,1,93500
1132,1,117500
1133,0,239500
1134,0,169000
1135,1,102000
1136,1,119000
1137,1,94000
1138,0,196000
1139,1,144000
1140,1,139000
1141,0,197500
1142,0,424870
1143,1,80000
1144,1,80000
1145,1,149000
1146,1,180000
1147,1,174500
1148,1,116900
1149,1,143000
1150,1,124000
1151,1,149900
1152,1,230000
1153,1,120500
1154,1,201800
1155,1,218000
1156,1,179900
1157,0,230000
1158,0,235128
1159,0,185000
1160,1,146000
1161,1,224000
1162,1,129000
1163,1,108959
1164,1,194000
1165,0,233170
1166,0,245350
1167,0,173000
1168,1,235000
1169,0,625000
1170,0,171000
1171,1,163000
1172,1,171900
1173,1,200500
1174,1,239000
1175,0,285000
1176,1,119500
1177,1,115000
1178,1,154900
1179,1,93000
1180,0,250000
1181,1,392500
1182,0,745000
1183,1,120000
1184,1,186700
1185,1,104900
1186,1,95000
1187,0,262000
1188,0,195000
1189,0,189000
1190,0,168000
1191,1,174000
1192,1,125000
1193,0,165000
1194,0,158000
1195,0,176000
1196,0,219210
1197,1,144000
1198,0,178000
1199,1,148000
1200,1,116050
1201,0,197900
1202,1,117000
1203,0,213000
1204,1,153500
1205,0,271900
1206,1,107000
1207,0,200000
1208,1,140000
1209,0,290000
1210,0,189000
1211,0,164000
1212,1,113000
1213,1,145000
1214,1,134500
1215,1,125000
1216,1,112000
1217,0,229456
1218,1,80500
1219,1,91500
1220,1,115000
1221,1,134000
1222,1,143000
1223,1,137900
1224,0,184000
1225,1,145000
1226,0,214000
1227,1,147000
1228,1,367294
1229,1,127000
1230,1,190000
1231,1,132500
1232,1,101800
1233,1,142000
1234,1,130000
1235,1,138887
1236,1,175500
1237,0,195000
1238,1,142500
1239,0,265900
1240,0,224900
1241,0,248328
1242,1,170000
1243,0,465000
1244,1,230000
1245,1,178000
1246,0,186500
1247,1,169900
1248,1,129500
1249,1,119000
1250,0,244000
1251,0,171750
1252,1,130000
1253,1,294000
1254,0,165400
1255,1,127500
1256,0,301500
1257,1,99900
1258,0,190000
1259,1,151000
1260,0,181000
1261,1,128900
1262,1,161500
1263,1,180500
1264,0,181000
1265,1,183900
1266,1,122000
1267,0,378500
1268,0,381000
1269,1,144000
1270,1,260000
1271,1,185750
1272,1,137000
1273,1,177000
1274,1,139000
1275,1,137000
1276,1,162000
1277,1,197900
1278,0,237000
1279,1,68400
1280,0,227000
1281,0,180000
1282,1,150500
1283,1,139000
1284,0,169000
1285,1,132500
1286,1,143000
1287,1,190000
1288,0,278000
1289,0,281000
1290,1,180500
1291,1,119500
1292,1,107500
1293,1,162900
1294,1,115000
1295,1,138500
1296,1,155000
1297,1,140000
1298,0,160000
1299,1,154000
1300,0,225000
1301,1,177500
1302,0,290000
1303,0,232000
1304,1,130000
1305,0,325000
1306,0,202500
1307,1,138000
1308,1,147000
1309,0,179200
1310,0,335000
1311,0,203000
1312,0,302000
1313,0,333168
1314,1,119000
1315,0,206900
1316,0,295493
1317,0,208900
1318,0,275000
1319,1,111000
1320,1,156500
1321,1,72500
1322,0,190000
1323,1,82500
1324,0,147000
1325,1,55000
1326,1,79000
1327,1,130500
1328,1,256000
1329,0,176500
1330,0,227000
1331,1,132500
1332,1,100000
1333,1,125500
1334,1,125000
1335,1,167900
1336,1,135000
1337,1,52500
1338,0,200000
1339,1,128500
1340,1,123000
1341,1,155000
1342,0,228500
1343,1,177000
1344,0,155835
1345,1,108500
1346,1,262500
1347,0,283463
1348,0,215000
1349,1,122000
1350,0,200000
1351,0,171000
1352,1,134900
1353,0,410000
1354,0,235000
1355,0,170000
1356,1,110000
1357,1,149900
1358,1,177500
1359,0,315000
1360,0,189000
1361,0,260000
1362,1,104900
1363,0,156932
1364,1,144152
1365,0,216000
1366,0,193000
1367,1,127000
1368,1,144000
1369,1,232000
1370,1,105000
1371,1,165500
1372,0,274300
1373,0,466500
1374,0,250000
1375,0,239000
1376,1,91000
1377,1,117000
1378,1,83000
1379,0,167500
1380,1,58500
1381,0,237500
1382,1,157000
1383,1,112000
1384,1,105000
1385,1,125500
1386,0,250000
1387,1,136000
1388,0,377500
1389,1,131000
1390,0,235000
1391,1,124000
1392,1,123000
1393,1,163000
1394,0,246578
1395,0,281213
1396,1,160000
1397,1,137500
1398,1,138000
1399,1,137450
1400,1,120000
1401,0,193000
1402,0,193879
1403,0,282922
1404,1,105000
1405,1,275000
1406,1,133000
1407,1,112000
1408,1,125500
1409,0,215000
1410,0,230000
1411,1,140000
1412,1,90000
1413,0,257000
1414,1,207000
1415,1,175900
1416,1,122500
1417,0,340000
1418,1,124000
1419,0,223000
1420,0,179900
1421,1,127500
1422,1,136500
1423,0,274970
1424,1,144000
1425,1,142000
1426,0,271000
1427,1,140000
1428,1,119000
1429,0,182900
1430,0,192140
1431,1,143750
1432,1,64500
1433,0,186500
1434,1,160000
1435,1,174000
1436,1,120500
1437,1,394617
1438,1,149700
1439,0,197000
1440,1,191000
1441,1,149300
1442,0,310000
1443,1,121000
1444,0,179600
1445,1,129000
1446,1,157900
1447,0,240000
1448,1,112000
1449,1,92000
1450,1,136000
1451,0,287090
1452,1,145000
1453,1,84500
1454,0,185000
1455,0,175000
1456,0,210000
1457,0,266500
1458,1,142125
1459,1,147500
