variable,categoria,frecuencia,porcentaje,comentario
BsmtCond,Po,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Exterior2nd,CBlock,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Fence,MnWw,11,0.7534246575342466,categoría poco frecuente; identificar sin agrupar todavía
Foundation,Stone,6,0.410958904109589,categoría poco frecuente; identificar sin agrupar todavía
Foundation,Wood,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
Functional,Maj1,14,0.9589041095890412,categoría poco frecuente; identificar sin agrupar todavía
Functional,Maj2,5,0.3424657534246575,categoría poco frecuente; identificar sin agrupar todavía
Functional,Sev,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
GarageCond,Gd,9,0.6164383561643836,categoría poco frecuente; identificar sin agrupar todavía
GarageCond,Po,7,0.4794520547945206,categoría poco frecuente; identificar sin agrupar todavía
GarageCond,Ex,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
GarageQual,Gd,14,0.9589041095890412,categoría poco frecuente; identificar sin agrupar todavía
GarageQual,Ex,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
GarageQual,Po,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
GarageType,CarPort,9,0.6164383561643836,categoría poco frecuente; identificar sin agrupar todavía
GarageType,2Types,6,0.410958904109589,categoría poco frecuente; identificar sin agrupar todavía
Heating,Grav,7,0.4794520547945206,categoría poco frecuente; identificar sin agrupar todavía
Heating,Wall,4,0.273972602739726,categoría poco frecuente; identificar sin agrupar todavía
Heating,OthW,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Heating,Floor,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
HeatingQC,Po,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
HouseStyle,1.5Unf,14,0.9589041095890412,categoría poco frecuente; identificar sin agrupar todavía
HouseStyle,2.5Unf,11,0.7534246575342466,categoría poco frecuente; identificar sin agrupar todavía
HouseStyle,2.5Fin,8,0.547945205479452,categoría poco frecuente; identificar sin agrupar todavía
LandSlope,Sev,13,0.8904109589041096,categoría poco frecuente; identificar sin agrupar todavía
LotConfig,FR3,4,0.273972602739726,categoría poco frecuente; identificar sin agrupar todavía
LotShape,IR3,10,0.684931506849315,categoría poco frecuente; identificar sin agrupar todavía
MSZoning,C (all),10,0.684931506849315,categoría poco frecuente; identificar sin agrupar todavía
MiscFeature,Gar2,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
MiscFeature,Othr,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
MiscFeature,TenC,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
Neighborhood,Veenker,11,0.7534246575342466,categoría poco frecuente; identificar sin agrupar todavía
Neighborhood,NPkVill,9,0.6164383561643836,categoría poco frecuente; identificar sin agrupar todavía
Neighborhood,Blueste,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
PoolQC,Gd,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
PoolQC,Ex,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
PoolQC,Fa,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
RoofMatl,Tar&Grv,11,0.7534246575342466,categoría poco frecuente; identificar sin agrupar todavía
RoofMatl,WdShngl,6,0.410958904109589,categoría poco frecuente; identificar sin agrupar todavía
RoofMatl,WdShake,5,0.3424657534246575,categoría poco frecuente; identificar sin agrupar todavía
RoofMatl,Metal,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
RoofMatl,Membran,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
RoofMatl,Roll,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
RoofMatl,ClyTile,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
RoofStyle,Flat,13,0.8904109589041096,categoría poco frecuente; identificar sin agrupar todavía
RoofStyle,Gambrel,11,0.7534246575342466,categoría poco frecuente; identificar sin agrupar todavía
RoofStyle,Mansard,7,0.4794520547945206,categoría poco frecuente; identificar sin agrupar todavía
RoofStyle,Shed,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
SaleCondition,Alloca,12,0.821917808219178,categoría poco frecuente; identificar sin agrupar todavía
SaleCondition,AdjLand,4,0.273972602739726,categoría poco frecuente; identificar sin agrupar todavía
SaleType,ConLD,9,0.6164383561643836,categoría poco frecuente; identificar sin agrupar todavía
SaleType,ConLI,5,0.3424657534246575,categoría poco frecuente; identificar sin agrupar todavía
SaleType,ConLw,5,0.3424657534246575,categoría poco frecuente; identificar sin agrupar todavía
SaleType,CWD,4,0.273972602739726,categoría poco frecuente; identificar sin agrupar todavía
SaleType,Oth,3,0.2054794520547945,categoría poco frecuente; identificar sin agrupar todavía
SaleType,Con,2,0.136986301369863,categoría poco frecuente; identificar sin agrupar todavía
Street,Grvl,6,0.410958904109589,categoría poco frecuente; identificar sin agrupar todavía
Utilities,NoSeWa,1,0.0684931506849315,categoría poco frecuente; identificar sin agrupar todavía
