indice_original,cluster_kmeans,SalePrice
199,1,274900
200,0,140000
201,1,171500
202,0,112000
203,0,149000
204,0,110000
205,1,180500
206,0,143900
207,0,141000
208,1,277000
209,0,145000
210,0,98000
211,1,186000
212,1,252678
213,0,156000
214,0,161750
215,0,134450
216,1,210000
217,0,107000
218,0,311500
219,1,167240
220,1,204900
221,1,200000
222,1,179900
223,0,97000
224,1,386250
225,0,112000
226,1,290000
227,0,106000
228,0,125000
229,1,192500
230,0,148000
231,1,403000
232,0,94500
233,0,128200
234,1,216500
235,0,89500
236,1,185500
237,1,194500
238,1,318000
239,0,113000
240,1,262500
241,0,110500
242,0,79000
243,0,120000
244,1,205000
245,1,241500
246,0,137000
247,0,140000
248,1,180000
249,1,277000
250,0,76500
251,1,235000
252,1,173000
253,0,158000
254,0,145000
255,1,230000
256,1,207500
257,1,220000
258,1,231500
259,0,97000
260,0,176000
261,1,276000
262,0,151000
263,0,130000
264,0,73000
265,1,175500
266,1,185000
267,0,179500
268,0,120500
269,0,148000
270,1,266000
271,0,241500
272,1,290000
273,0,139000
274,0,124500
275,0,205000
276,1,201000
277,0,141000
278,1,415298
279,1,192000
280,1,228500
281,1,185000
282,1,207500
283,1,244600
284,1,179200
285,1,164700
286,0,159000
287,0,88000
288,0,122000
289,0,153575
290,1,233230
291,0,135900
292,0,131000
293,1,235000
294,0,167000
295,0,142500
296,0,152000
297,1,239000
298,0,175000
299,0,158500
300,0,157000
301,1,267000
302,1,205000
303,0,149900
304,1,295000
305,1,305900
306,1,225000
307,0,89500
308,0,82500
309,1,360000
310,1,165600
311,0,132000
312,0,119900
313,1,375000
314,0,178000
315,1,188500
316,1,260000
317,1,270000
318,1,260000
319,1,187500
320,1,342643
321,1,354000
322,1,301000
323,0,126175
324,1,242000
325,0,87000
326,1,324000
327,0,145250
328,0,214500
329,0,78000
330,1,119000
331,0,139000
332,1,284000
333,1,207000
334,1,192000
335,1,228950
336,1,377426
337,1,214000
338,1,202500
339,0,155000
340,1,202900
341,0,82000
342,0,87500
343,1,266000
344,0,85000
345,0,140200
346,0,151500
347,1,157500
348,1,154000
349,1,437154
350,1,318061
351,1,190000
352,0,95000
353,0,105900
354,0,140000
355,1,177500
356,1,173000
357,0,134000
358,0,130000
359,1,280000
360,0,156000
361,0,145000
362,1,198500
363,0,118000
364,1,190000
365,0,147000
366,1,159000
367,0,165000
368,0,132000
369,0,162000
370,1,172400
371,0,134432
372,0,125000
373,0,123000
374,1,219500
375,0,61000
376,0,148000
377,1,340000
378,1,394432
379,1,179000
380,0,127000
381,1,187750
382,1,213500
383,0,76000
384,1,240000
385,1,192000
386,0,81000
387,0,125000
388,1,191000
389,1,426000
390,0,119000
391,1,215000
392,0,106500
393,0,100000
394,0,109000
395,0,129000
396,0,123000
397,0,169500
398,0,67000
399,1,241000
400,1,245500
401,1,164990
402,0,108000
403,1,258000
404,1,168000
405,1,150000
406,0,115000
407,0,177000
408,1,280000
409,1,339750
410,0,60000
411,0,145000
412,1,222000
413,0,115000
414,1,228000
415,1,181134
416,0,149500
417,1,239000
418,0,126000
419,0,142000
420,1,206300
421,1,215000
422,0,113000
423,1,315000
424,0,139000
425,0,135000
426,1,275000
427,0,109008
428,1,195400
429,1,175000
430,0,85400
431,0,79900
432,0,122500
433,1,181000
434,0,81000
435,1,212000
436,0,116000
437,0,119000
438,0,90350
439,0,110000
440,1,555000
441,0,118000
442,0,162900
443,1,172500
444,1,210000
445,0,127500
446,1,190000
447,1,199900
448,0,119500
449,0,120000
450,0,110000
451,1,280000
452,1,204000
453,1,210000
454,1,188000
455,0,175500
456,0,98000
457,0,256000
458,0,161000
459,0,110000
460,1,263435
461,0,155000
462,0,62383
463,0,188700
464,0,124000
465,1,178740
466,0,167000
467,0,146500
468,1,250000
469,1,187000
470,0,212000
471,1,190000
472,0,148000
473,1,440000
474,1,251000
475,0,132500
476,1,208900
477,1,380000
478,1,297000
479,0,89471
480,1,326000
481,1,374000
482,0,155000
483,1,164000
484,0,132500
485,0,147000
486,0,156000
487,1,175000
488,1,160000
489,0,86000
490,0,115000
491,0,133000
492,1,172785
493,0,155000
494,0,91300
495,0,34900
496,1,430000
497,0,184000
498,0,130000
499,0,120000
500,0,113000
501,1,226700
502,0,140000
503,1,289000
504,0,147000
505,0,124500
506,1,215000
507,1,208300
508,0,161000
509,0,124500
510,0,164900
511,1,202665
512,0,129900
513,0,134000
514,0,96500
515,1,402861
516,1,158000
517,1,265000
518,1,211000
519,0,234000
520,0,106250
521,0,150000
522,0,159000
523,1,184750
524,1,315750
525,1,176000
526,0,132000
527,1,446261
528,0,86000
529,1,200624
530,1,175000
531,0,128000
532,0,107500
533,0,39300
534,1,178000
535,0,107500
536,1,188000
537,0,111250
538,0,158000
539,1,272000
540,1,315000
541,1,248000
542,1,213250
543,0,133000
544,1,179665
545,1,229000
546,0,210000
547,0,129500
548,0,125000
549,1,263000
550,0,140000
551,0,112500
552,1,255500
553,0,108000
554,1,284000
555,0,113000
556,0,141000
557,0,108000
558,1,175000
559,1,234000
560,0,121500
561,0,170000
562,0,108000
563,0,185000
564,1,268000
565,0,128000
566,1,325000
567,1,214000
568,1,316600
569,0,135960
570,1,142600
571,0,120000
572,1,224500
573,1,170000
574,0,139000
575,0,118500
576,0,145000
577,0,164500
578,1,146000
579,0,131500
580,0,181900
581,1,253293
582,0,118500
583,1,325000
584,0,133000
585,1,369900
586,0,130000
587,0,137000
588,0,143000
589,0,79500
590,1,185900
591,1,451950
592,0,138000
593,0,140000
594,0,110000
595,1,319000
596,0,114504
597,1,194201
598,1,217500
599,0,151000
600,1,275000
601,0,141000
602,1,220000
603,1,151000
604,1,221000
605,1,205000
606,0,152000
607,0,225000
608,1,359100
609,0,118500
610,1,313000
611,0,148000
612,1,261500
613,0,147000
614,0,75500
615,0,137500
616,1,183200
617,0,105500
618,1,314813
619,1,305000
620,0,67000
621,1,240000
622,0,135000
623,1,168500
624,1,165150
625,0,160000
626,0,139900
627,0,153000
628,1,135000
629,0,168500
630,0,124000
631,1,209500
632,1,82500
633,0,139400
634,0,144000
635,1,200000
636,0,60000
637,0,93000
638,0,85000
639,1,264561
640,1,274000
641,1,226000
642,1,345000
643,0,152000
644,1,370878
645,0,143250
646,0,98300
647,0,155000
648,0,155000
649,0,84500
650,1,205950
651,0,108000
652,1,191000
653,0,135000
654,1,350000
655,0,88000
656,0,145500
657,0,149000
658,0,97500
659,0,167000
660,1,197900
661,1,402000
662,0,110000
663,0,137500
664,1,423000
665,1,230500
666,1,129000
667,1,193500
668,0,168000
669,0,137500
670,1,173500
671,0,103600
672,0,165000
673,1,257500
674,0,140000
675,0,148500
676,0,87000
677,0,109500
678,1,372500
679,0,128500
680,0,143000
681,0,159434
682,1,173000
683,1,285000
684,1,221000
685,1,207500
686,1,227875
687,1,148800
688,1,392000
689,1,194700
690,0,141000
691,1,755000
692,1,335000
693,0,108480
694,0,141500
695,0,176000
696,0,89000
697,0,123500
698,0,138500
699,1,196000
700,1,312500
701,0,140000
702,1,361919
703,0,140000
704,1,213000
705,0,55000
706,1,302000
707,1,254000
708,1,179540
709,0,109900
710,0,52000
711,0,102776
712,1,189000
713,0,129000
714,0,130500
715,1,165000
716,0,159500
717,0,157000
718,1,341000
719,0,128500
720,1,275000
721,0,143000
722,0,124500
723,0,135000
724,1,320000
725,0,120500
726,1,222000
727,1,194500
728,1,110000
729,0,103000
730,1,236500
731,1,187500
732,1,222500
733,0,131400
734,0,108000
735,0,163000
736,0,93500
737,1,239900
738,0,179000
739,1,190000
740,0,132000
741,0,142000
742,1,179000
743,0,175000
744,1,180000
745,1,299800
746,1,236000
747,1,265979
748,1,260400
749,0,98000
750,0,96500
751,1,162000
752,1,217000
753,1,275500
754,0,156000
755,1,172500
756,1,212000
757,1,158900
758,1,179400
759,1,290000
760,0,127500
761,0,100000
762,1,215200
763,1,337000
764,1,270000
765,1,264132
766,1,196500
767,0,160000
768,1,216837
769,1,538000
770,0,134900
771,0,102000
772,0,107000
773,0,114500
774,1,395000
775,1,162000
776,1,221500
777,0,142500
778,1,144000
779,0,135000
780,1,176000
781,1,175900
782,1,187100
783,0,165500
784,0,128000
785,0,161500
786,0,139000
787,1,233000
788,0,107900
789,1,187500
790,1,160200
791,0,146800
792,1,269790
793,1,225000
794,1,194500
795,1,171000
796,0,143500
797,0,110000
798,1,485000
799,0,175000
800,1,200000
801,0,109900
802,1,189000
803,1,582933
804,0,118000
805,1,227680
806,0,135500
807,0,223500
808,0,159950
809,0,106000
810,0,181000
811,0,144500
812,0,55993
813,0,157900
814,0,116000
815,1,224900
816,0,137000
817,1,271000
818,0,155000
819,1,224000
820,1,183000
821,0,93000
822,1,225000
823,0,139500
824,1,232600
825,1,385000
826,0,109500
827,1,189000
828,1,185000
829,1,147400
830,0,166000
831,1,151000
832,1,237000
833,0,167000
834,0,139950
835,0,128000
836,0,153500
837,0,100000
838,0,144000
839,0,130500
840,0,140000
841,0,157500
842,0,174900
843,0,141000
844,0,153900
845,1,171000
846,1,213000
847,0,133500
848,1,240000
849,1,187000
850,0,131500
851,1,215000
852,0,164000
853,0,158000
854,1,170000
855,0,127000
856,0,147000
857,1,174000
858,1,152000
859,1,250000
860,0,189950
861,0,131500
862,0,152000
863,0,132500
864,1,250580
865,0,148500
866,1,248900
867,0,129000
868,0,169000
869,1,236000
870,0,109500
871,1,200500
872,0,116000
873,0,133000
874,0,66500
875,1,303477
876,0,132250
877,1,350000
878,0,148000
879,0,136500
880,0,157000
881,1,187500
882,1,178000
883,0,118500
884,0,100000
885,1,328900
886,1,145000
887,0,135500
888,1,268000
889,0,149500
890,0,122900
891,1,172500
892,0,154500
893,0,165000
894,0,118858
895,0,140000
896,0,106500
897,1,142953
898,1,611657
899,0,135000
900,0,110000
901,0,153000
902,1,180000
903,1,240000
904,0,125500
905,0,128000
906,1,255000
907,0,250000
908,0,131000
909,1,174000
910,1,154300
911,0,143500
912,0,88000
913,0,145000
914,1,173733
915,0,75000
916,0,35311
917,0,135000
918,1,238000
919,0,176500
920,1,201000
921,0,145900
922,1,169990
923,1,193000
924,1,207500
925,0,175000
926,1,285000
927,1,176000
928,1,236500
929,1,222000
930,1,201000
931,0,117500
932,1,320000
933,1,190000
934,1,242000
935,0,79900
936,1,184900
937,1,253000
938,1,239799
939,0,244400
940,1,150900
941,1,214000
942,0,150000
943,1,143000
944,0,137500
945,0,124900
946,0,143000
947,1,270000
948,1,192500
949,0,197500
950,0,129000
951,0,119900
952,0,133900
953,1,172000
954,0,127500
955,0,145000
956,0,124000
957,0,132000
958,1,185000
959,1,155000
960,0,116500
961,1,272000
962,0,155000
963,1,239000
964,1,214900
965,1,178900
966,0,160000
967,0,135000
968,0,37900
969,0,140000
970,0,135000
971,1,173000
972,0,99500
973,1,182000
974,0,167500
975,1,165000
976,0,85500
977,1,199900
978,0,110000
979,0,139000
980,0,178400
981,1,336000
982,1,159895
983,1,255900
984,0,126000
985,0,125000
986,0,117000
987,1,395192
988,1,195000
989,1,197000
990,1,348000
991,0,168000
992,1,187000
993,1,173900
994,1,337500
995,0,121600
996,0,136500
997,1,185000
998,0,91000
999,1,206000
1000,0,82000
1001,0,86000
1002,1,232000
1003,1,136905
1004,1,181000
1005,0,149900
1006,1,163500
1007,0,88000
1008,1,240000
1009,0,102000
1010,0,135000
1011,0,100000
1012,0,165000
1013,0,85000
1014,0,119200
1015,1,227000
1016,1,203000
1017,0,187500
1018,1,160000
1019,1,213490
1020,0,176000
1021,1,194000
1022,0,87000
1023,1,191000
1024,1,287000
1025,0,112500
1026,0,167500
1027,1,293077
1028,0,105000
1029,0,118000
1030,0,160000
1031,1,197000
1032,1,310000
1033,1,230000
1034,0,119750
1035,0,84000
1036,1,315500
1037,1,287000
1038,0,97000
1039,0,80000
1040,1,155000
1041,0,173000
1042,1,196000
1043,1,262280
1044,1,278000
1045,0,139600
1046,1,556581
1047,0,145000
1048,0,115000
1049,0,84900
1050,1,176485
1051,1,200141
1052,1,165000
1053,0,144500
1054,1,255000
1055,1,180000
1056,1,185850
1057,1,248000
1058,1,335000
1059,0,220000
1060,1,213500
1061,0,81000
1062,0,90000
1063,0,110500
1064,0,154000
1065,1,328000
1066,1,178000
1067,0,167900
1068,1,151400
1069,0,135000
1070,0,135000
1071,0,154000
1072,0,91500
1073,0,159500
1074,1,194000
1075,0,219500
1076,0,170000
1077,0,138800
1078,0,155900
1079,0,126000
1080,0,145000
1081,0,133000
1082,1,192000
1083,0,160000
1084,1,187500
1085,0,147000
1086,0,83500
1087,1,252000
1088,1,137500
1089,1,197000
1090,0,92900
1091,0,160000
1092,0,136500
1093,0,146000
1094,0,129000
1095,1,176432
1096,0,127000
1097,0,170000
1098,0,128000
1099,1,157000
1100,0,60000
1101,0,119500
1102,0,135000
1103,0,159500
1104,0,106000
1105,1,325000
1106,1,179900
1107,1,274725
1108,1,181000
1109,1,280000
1110,1,188000
1111,1,205000
1112,0,129900
1113,0,134500
1114,0,117000
1115,1,318000
1116,1,184100
1117,0,130000
1118,0,140000
1119,0,133700
1120,0,118400
1121,1,212900
1122,0,112000
1123,0,118000
1124,1,163900
1125,0,115000
1126,1,174000
1127,1,259000
1128,1,215000
1129,0,140000
1130,1,135000
1131,0,93500
1132,0,117500
1133,1,239500
1134,1,169000
1135,0,102000
1136,0,119000
1137,0,94000
1138,1,196000
1139,0,144000
1140,0,139000
1141,1,197500
1142,1,424870
1143,0,80000
1144,0,80000
1145,0,149000
1146,1,180000
1147,0,174500
1148,0,116900
1149,0,143000
1150,0,124000
1151,1,149900
1152,0,230000
1153,0,120500
1154,1,201800
1155,1,218000
1156,0,179900
1157,1,230000
1158,1,235128
1159,1,185000
1160,0,146000
1161,1,224000
1162,0,129000
1163,0,108959
1164,0,194000
1165,1,233170
1166,1,245350
1167,1,173000
1168,1,235000
1169,1,625000
1170,0,171000
1171,0,163000
1172,1,171900
1173,1,200500
1174,0,239000
1175,1,285000
1176,0,119500
1177,0,115000
1178,0,154900
1179,0,93000
1180,1,250000
1181,1,392500
1182,1,745000
1183,0,120000
1184,1,186700
1185,0,104900
1186,0,95000
1187,1,262000
1188,1,195000
1189,1,189000
1190,1,168000
1191,1,174000
1192,0,125000
1193,1,165000
1194,0,158000
1195,1,176000
1196,1,219210
1197,0,144000
1198,1,178000
1199,0,148000
1200,0,116050
1201,1,197900
1202,0,117000
1203,1,213000
1204,0,153500
1205,1,271900
1206,0,107000
1207,1,200000
1208,0,140000
1209,1,290000
1210,1,189000
1211,1,164000
1212,0,113000
1213,0,145000
1214,0,134500
1215,0,125000
1216,0,112000
1217,1,229456
1218,0,80500
1219,0,91500
1220,0,115000
1221,0,134000
1222,0,143000
1223,1,137900
1224,1,184000
1225,0,145000
1226,1,214000
1227,0,147000
1228,1,367294
1229,0,127000
1230,1,190000
1231,0,132500
1232,0,101800
1233,0,142000
1234,0,130000
1235,0,138887
1236,1,175500
1237,1,195000
1238,1,142500
1239,1,265900
1240,1,224900
1241,1,248328
1242,1,170000
1243,1,465000
1244,0,230000
1245,1,178000
1246,1,186500
1247,0,169900
1248,0,129500
1249,0,119000
1250,1,244000
1251,1,171750
1252,0,130000
1253,1,294000
1254,1,165400
1255,0,127500
1256,1,301500
1257,0,99900
1258,1,190000
1259,0,151000
1260,1,181000
1261,0,128900
1262,0,161500
1263,0,180500
1264,1,181000
1265,1,183900
1266,0,122000
1267,1,378500
1268,1,381000
1269,0,144000
1270,0,260000
1271,0,185750
1272,0,137000
1273,0,177000
1274,0,139000
1275,0,137000
1276,0,162000
1277,1,197900
1278,1,237000
1279,0,68400
1280,1,227000
1281,1,180000
1282,0,150500
1283,0,139000
1284,1,169000
1285,0,132500
1286,0,143000
1287,1,190000
1288,1,278000
1289,1,281000
1290,0,180500
1291,0,119500
1292,1,107500
1293,1,162900
1294,0,115000
1295,0,138500
1296,0,155000
1297,0,140000
1298,1,160000
1299,0,154000
1300,1,225000
1301,0,177500
1302,1,290000
1303,1,232000
1304,1,130000
1305,1,325000
1306,1,202500
1307,0,138000
1308,0,147000
1309,1,179200
1310,1,335000
1311,1,203000
1312,1,302000
1313,1,333168
1314,0,119000
1315,1,206900
1316,1,295493
1317,1,208900
1318,1,275000
1319,0,111000
1320,0,156500
1321,0,72500
1322,1,190000
1323,0,82500
1324,1,147000
1325,0,55000
1326,0,79000
1327,0,130500
1328,1,256000
1329,1,176500
1330,1,227000
1331,0,132500
1332,0,100000
1333,0,125500
1334,0,125000
1335,1,167900
1336,1,135000
1337,0,52500
1338,1,200000
1339,0,128500
1340,0,123000
1341,1,155000
1342,1,228500
1343,0,177000
1344,1,155835
1345,0,108500
1346,1,262500
1347,1,283463
1348,1,215000
1349,0,122000
1350,1,200000
1351,0,171000
1352,0,134900
1353,1,410000
1354,1,235000
1355,1,170000
1356,0,110000
1357,0,149900
1358,1,177500
1359,1,315000
1360,1,189000
1361,1,260000
1362,0,104900
1363,1,156932
1364,1,144152
1365,1,216000
1366,1,193000
1367,0,127000
1368,0,144000
1369,1,232000
1370,0,105000
1371,0,165500
1372,1,274300
1373,1,466500
1374,1,250000
1375,1,239000
1376,0,91000
1377,0,117000
1378,0,83000
1379,1,167500
1380,0,58500
1381,1,237500
1382,0,157000
1383,0,112000
1384,0,105000
1385,0,125500
1386,1,250000
1387,0,136000
1388,1,377500
1389,0,131000
1390,1,235000
1391,1,124000
1392,0,123000
1393,0,163000
1394,1,246578
1395,1,281213
1396,0,160000
1397,0,137500
1398,0,138000
1399,0,137450
1400,0,120000
1401,1,193000
1402,1,193879
1403,1,282922
1404,0,105000
1405,1,275000
1406,0,133000
1407,0,112000
1408,0,125500
1409,1,215000
1410,1,230000
1411,0,140000
1412,0,90000
1413,1,257000
1414,0,207000
1415,1,175900
1416,0,122500
1417,1,340000
1418,0,124000
1419,1,223000
1420,1,179900
1421,0,127500
1422,0,136500
1423,1,274970
1424,0,144000
1425,0,142000
1426,1,271000
1427,0,140000
1428,0,119000
1429,1,182900
1430,1,192140
1431,0,143750
1432,0,64500
1433,1,186500
1434,0,160000
1435,0,174000
1436,0,120500
1437,1,394617
1438,0,149700
1439,1,197000
1440,1,191000
1441,0,149300
1442,1,310000
1443,0,121000
1444,1,179600
1445,0,129000
1446,0,157900
1447,1,240000
1448,0,112000
1449,0,92000
1450,0,136000
1451,1,287090
1452,0,145000
1453,0,84500
1454,1,185000
1455,1,175000
1456,1,210000
1457,1,266500
1458,0,142125
1459,0,147500
