variable,count,missing_count,missing_pct,min,q1,median,mean,q3,max,std,iqr,skewness,zero_count,zero_pct
GarageCars,1460,0,0.0,0.0,1.0,2.0,1.7671232876712328,2.0,4.0,0.7473150101111095,1.0,-0.3425489297486655,81,5.5479452054794525
GarageArea,1460,0,0.0,0.0,334.5,480.0,472.9801369863014,576.0,1418.0,213.80484145338042,241.5,0.17998090674623907,81,5.5479452054794525
WoodDeckSF,1460,0,0.0,0.0,0.0,0.0,94.2445205479452,168.0,857.0,125.3387943517241,168.0,1.5413757571931312,761,52.12328767123287
OpenPorchSF,1460,0,0.0,0.0,0.0,25.0,46.66027397260274,68.0,547.0,66.25602767664971,68.0,2.3643417403694404,656,44.93150684931507
EnclosedPorch,1460,0,0.0,0.0,0.0,0.0,21.954109589041096,0.0,552.0,61.1191486017286,0.0,3.08987190371177,1252,85.75342465753425
3SsnPorch,1460,0,0.0,0.0,0.0,0.0,3.4095890410958902,0.0,508.0,29.31733055678188,0.0,10.304342032693112,1436,98.35616438356163
ScreenPorch,1460,0,0.0,0.0,0.0,0.0,15.060958904109588,0.0,480.0,55.757415281874174,0.0,4.122213743143115,1344,92.05479452054794
PoolArea,1460,0,0.0,0.0,0.0,0.0,2.758904109589041,0.0,738.0,40.17730694453019,0.0,14.828373640750588,1453,99.52054794520548
MiscVal,1460,0,0.0,0.0,0.0,0.0,43.489041095890414,0.0,15500.0,496.12302445794415,0.0,24.476794188821916,1408,96.43835616438356
MoSold,1460,0,0.0,1.0,5.0,6.0,6.321917808219178,8.0,12.0,2.7036262083595126,3.0,0.21205298505146022,0,0.0
YrSold,1460,0,0.0,2006.0,2007.0,2008.0,2007.8157534246575,2009.0,2010.0,1.3280951205521099,2.0,0.09626851386568028,0,0.0
SalePrice,1460,0,0.0,34900.0,129975.0,163000.0,180921.19589041095,214000.0,755000.0,79442.50288288662,84025.0,1.8828757597682129,0,0.0
