variable,categoria,frecuencia,porcentaje,es_missing
Functional,Maj2,5,0.3424657534246575,False
Functional,Sev,1,0.0684931506849315,False
GarageCond,TA,1326,90.82191780821918,False
GarageCond,<NA>,81,5.5479452054794525,True
GarageCond,Fa,35,2.3972602739726026,False
GarageCond,Gd,9,0.6164383561643836,False
GarageCond,Po,7,0.4794520547945206,False
GarageCond,Ex,2,0.136986301369863,False
GarageFinish,Unf,605,41.43835616438356,False
GarageFinish,RFn,422,28.904109589041095,False
GarageFinish,Fin,352,24.10958904109589,False
GarageFinish,<NA>,81,5.5479452054794525,True
GarageQual,TA,1311,89.7945205479452,False
GarageQual,<NA>,81,5.5479452054794525,True
GarageQual,Fa,48,3.287671232876712,False
GarageQual,Gd,14,0.9589041095890412,False
GarageQual,Ex,3,0.2054794520547945,False
GarageQual,Po,3,0.2054794520547945,False
GarageType,Attchd,870,59.589041095890416,False
GarageType,Detchd,387,26.506849315068493,False
GarageType,BuiltIn,88,6.027397260273973,False
GarageType,<NA>,81,5.5479452054794525,True
GarageType,Basment,19,1.3013698630136987,False
GarageType,CarPort,9,0.6164383561643836,False
GarageType,2Types,6,0.410958904109589,False
Heating,GasA,1428,97.80821917808218,False
Heating,GasW,18,1.2328767123287672,False
Heating,Grav,7,0.4794520547945206,False
Heating,Wall,4,0.273972602739726,False
Heating,OthW,2,0.136986301369863,False
Heating,Floor,1,0.0684931506849315,False
HeatingQC,Ex,741,50.753424657534254,False
HeatingQC,TA,428,29.315068493150687,False
HeatingQC,Gd,241,16.506849315068493,False
HeatingQC,Fa,49,3.356164383561644,False
HeatingQC,Po,1,0.0684931506849315,False
HouseStyle,1Story,726,49.726027397260275,False
HouseStyle,2Story,445,30.47945205479452,False
HouseStyle,1.5Fin,154,10.547945205479452,False
HouseStyle,SLvl,65,4.4520547945205475,False
HouseStyle,SFoyer,37,2.5342465753424657,False
HouseStyle,1.5Unf,14,0.9589041095890412,False
HouseStyle,2.5Unf,11,0.7534246575342466,False
HouseStyle,2.5Fin,8,0.547945205479452,False
KitchenQual,TA,735,50.34246575342466,False
KitchenQual,Gd,586,40.136986301369866,False
KitchenQual,Ex,100,6.8493150684931505,False
KitchenQual,Fa,39,2.671232876712329,False
LandContour,Lvl,1311,89.7945205479452,False
LandContour,Bnk,63,4.315068493150685,False
LandContour,HLS,50,3.4246575342465753,False
LandContour,Low,36,2.4657534246575343,False
LandSlope,Gtl,1382,94.65753424657535,False
LandSlope,Mod,65,4.4520547945205475,False
LandSlope,Sev,13,0.8904109589041096,False
LotConfig,Inside,1052,72.05479452054794,False
LotConfig,Corner,263,18.013698630136986,False
LotConfig,CulDSac,94,6.438356164383562,False
LotConfig,FR2,47,3.219178082191781,False
LotConfig,FR3,4,0.273972602739726,False
LotShape,Reg,925,63.35616438356164,False
LotShape,IR1,484,33.15068493150685,False
LotShape,IR2,41,2.808219178082192,False
LotShape,IR3,10,0.684931506849315,False
MSZoning,RL,1151,78.83561643835615,False
MSZoning,RM,218,14.931506849315069,False
MSZoning,FV,65,4.4520547945205475,False
MSZoning,RH,16,1.095890410958904,False
MSZoning,C (all),10,0.684931506849315,False
MasVnrType,<NA>,872,59.726027397260275,True
MasVnrType,BrkFace,445,30.47945205479452,False
MasVnrType,Stone,128,8.767123287671232,False
MasVnrType,BrkCmn,15,1.0273972602739725,False
MiscFeature,<NA>,1406,96.30136986301369,True
MiscFeature,Shed,49,3.356164383561644,False
MiscFeature,Gar2,2,0.136986301369863,False
MiscFeature,Othr,2,0.136986301369863,False
MiscFeature,TenC,1,0.0684931506849315,False
Neighborhood,NAmes,225,15.41095890410959,False
Neighborhood,CollgCr,150,10.273972602739725,False
Neighborhood,OldTown,113,7.739726027397261,False
Neighborhood,Edwards,100,6.8493150684931505,False
Neighborhood,Somerst,86,5.89041095890411,False
Neighborhood,Gilbert,79,5.410958904109589,False
Neighborhood,NridgHt,77,5.273972602739726,False
Neighborhood,Sawyer,74,5.068493150684931,False
Neighborhood,NWAmes,73,5.0,False
Neighborhood,SawyerW,59,4.041095890410959,False
Neighborhood,BrkSide,58,3.9726027397260277,False
Neighborhood,Crawfor,51,3.493150684931507,False
Neighborhood,Mitchel,49,3.356164383561644,False
Neighborhood,NoRidge,41,2.808219178082192,False
Neighborhood,Timber,38,2.6027397260273974,False
Neighborhood,IDOTRR,37,2.5342465753424657,False
Neighborhood,ClearCr,28,1.9178082191780823,False
Neighborhood,StoneBr,25,1.7123287671232876,False
Neighborhood,SWISU,25,1.7123287671232876,False
Neighborhood,MeadowV,17,1.1643835616438356,False
Neighborhood,Blmngtn,17,1.1643835616438356,False
Neighborhood,BrDale,16,1.095890410958904,False
Neighborhood,Veenker,11,0.7534246575342466,False
Neighborhood,NPkVill,9,0.6164383561643836,False
Neighborhood,Blueste,2,0.136986301369863,False
PavedDrive,Y,1340,91.78082191780823,False
PavedDrive,N,90,6.164383561643835,False
PavedDrive,P,30,2.054794520547945,False
PoolQC,<NA>,1453,99.52054794520548,True
PoolQC,Gd,3,0.2054794520547945,False
PoolQC,Ex,2,0.136986301369863,False
PoolQC,Fa,2,0.136986301369863,False
RoofMatl,CompShg,1434,98.21917808219179,False
RoofMatl,Tar&Grv,11,0.7534246575342466,False
RoofMatl,WdShngl,6,0.410958904109589,False
RoofMatl,WdShake,5,0.3424657534246575,False
RoofMatl,Metal,1,0.0684931506849315,False
RoofMatl,Membran,1,0.0684931506849315,False
RoofMatl,Roll,1,0.0684931506849315,False
RoofMatl,ClyTile,1,0.0684931506849315,False
RoofStyle,Gable,1141,78.15068493150686,False
RoofStyle,Hip,286,19.589041095890412,False
RoofStyle,Flat,13,0.8904109589041096,False
RoofStyle,Gambrel,11,0.7534246575342466,False
RoofStyle,Mansard,7,0.4794520547945206,False
RoofStyle,Shed,2,0.136986301369863,False
SaleCondition,Normal,1198,82.05479452054794,False
SaleCondition,Partial,125,8.561643835616438,False
SaleCondition,Abnorml,101,6.917808219178082,False
SaleCondition,Family,20,1.36986301369863,False
SaleCondition,Alloca,12,0.821917808219178,False
SaleCondition,AdjLand,4,0.273972602739726,False
SaleType,WD,1267,86.78082191780821,False
SaleType,New,122,8.356164383561644,False
SaleType,COD,43,2.945205479452055,False
SaleType,ConLD,9,0.6164383561643836,False
SaleType,ConLI,5,0.3424657534246575,False
SaleType,ConLw,5,0.3424657534246575,False
SaleType,CWD,4,0.273972602739726,False
SaleType,Oth,3,0.2054794520547945,False
SaleType,Con,2,0.136986301369863,False
Street,Pave,1454,99.58904109589041,False
Street,Grvl,6,0.410958904109589,False
Utilities,AllPub,1459,99.93150684931507,False
Utilities,NoSeWa,1,0.0684931506849315,False
